,เบอร์,ผลรวม,เครือข่าย,โปร,ราคา,สถานะ,ผู้ขาย,,
1,096-141-4645,40,TRUE,เติมเงิน,"12,900",,,,
2,096-141-5145,36,TRUE,เติมเงิน,"12,900",,,,
3,095-141-5156,37,TRUE,เติมเงิน,"12,900",,,,
4,096-141-5424,36,TRUE,เติมเงิน,"14,900",,,,
5,096-141-5451,36,TRUE,เติมเงิน,"19,900",,,,
6,096-141-5541,36,TRUE,เติมเงิน,"9,900",,,,
7,096-141-5619,42,TRUE,เติมเงิน,"19,900",,,,
8,097-141-5989,53,TRUE,เติมเงิน,"14,900",,,,
9,096-141-6454,40,TRUE,เติมเงิน,"7,900",,,,
10,096-141-6465,42,TRUE,เติมเงิน,"12,900",,,,
11,096-141-6564,42,TRUE,เติมเงิน,"7,900",,,,
12,096-141-6591,42,TRUE,เติมเงิน,"8,900",,,,
13,096-141-6915,42,TRUE,เติมเงิน,"14,900",,,,
14,096-141-6945,45,TRUE,เติมเงิน,"14,900",,,,
15,096-141-6954,45,TRUE,เติมเงิน,"11,900",,,,
16,096-141-9156,42,TRUE,เติมเงิน,"14,900",,,,
17,096-141-9451,40,TRUE,เติมเงิน,"9,000",,,,
18,096-141-9541,40,TRUE,เติมเงิน,"12,900",,,,
19,096-141-9615,42,TRUE,เติมเงิน,"7,900",,,,
20,096-141-9915,45,TRUE,เติมเงิน,"7,900",,,,
21,096-142-2951,39,TRUE,เติมเงิน,"14,900",,,,
22,096-142-4145,36,TRUE,เติมเงิน,"22,900",,,,
23,096-142-4154,36,TRUE,เติมเงิน,"8,900",,,,
24,084-142-4191,34,TRUE,เติมเงิน,"5,900",,,,
25,096-142-4451,36,TRUE,เติมเงิน,"11,900",,,,
26,095-142-4465,40,TRUE,เติมเงิน,"22,900",,,,
27,096-142-4514,36,TRUE,เติมเงิน,"19,900",,,,
28,096-142-4541,36,TRUE,เติมเงิน,"14,900",,,,
29,096-142-6959,51,TRUE,เติมเงิน,"12,900",,,,
30,095-142-9245,41,TRUE,เติมเงิน,"14,900",,,,
31,096-142-9424,41,TRUE,เติมเงิน,"12,900",,,,
32,095-142-9491,44,TRUE,เติมเงิน,"6,900",,,,
33,096-142-9515,42,TRUE,เติมเงิน,"14,900",,,,
34,096-142-9564,46,TRUE,เติมเงิน,"14,900",,,,
35,095-142-9591,45,TRUE,เติมเงิน,"12,900",,,,
36,096-142-9915,46,TRUE,เติมเงิน,"22,900",,,,
37,096-145-1415,36,TRUE,เติมเงิน,"22,900",,,,
38,096-145-1424,36,TRUE,เติมเงิน,"14,900",,,,
39,094-145-1454,37,TRUE,เติมเงิน,"14,900",,,,
40,096-145-1495,44,TRUE,เติมเงิน,"24,900",,,,
41,096-145-1565,42,TRUE,เติมเงิน,"29,900",,,,
42,095-145-1645,40,TRUE,เติมเงิน,"22,900",,,,
43,096-145-4159,44,TRUE,เติมเงิน,"24,900",,,,
44,095-145-4194,42,TRUE,เติมเงิน,"14,900",,,,
45,095-145-4264,40,TRUE,เติมเงิน,"14,900",,,,
46,096-145-4265,42,TRUE,เติมเงิน,"29,900",,,,
47,095-145-4595,47,TRUE,เติมเงิน,"24,900",,,,
48,095-145-4615,40,TRUE,เติมเงิน,"24,900",,,,
49,096-145-4645,44,TRUE,เติมเงิน,"24,900",,,,
50,096-145-4915,44,TRUE,เติมเงิน,"24,900",,,,
51,096-145-5145,40,TRUE,เติมเงิน,"24,900",,,,
52,096-145-5156,42,TRUE,เติมเงิน,"29,900",,,,
53,096-145-5165,42,TRUE,เติมเงิน,"29,900",,,,
54,096-145-5356,44,TRUE,เติมเงิน,"32,900",,,,
55,096-145-5464,44,TRUE,เติมเงิน,"14,900",,,,
56,096-145-5619,46,TRUE,เติมเงิน,"28,900",,,,
57,096-145-6191,42,TRUE,เติมเงิน,"12,900",,,,
58,096-145-6454,44,TRUE,เติมเงิน,"14,900",,,,
59,096-145-6459,49,TRUE,เติมเงิน,"28,900",,,,
60,095-145-6514,40,TRUE,เติมเงิน,"14,900",,,,
61,096-145-6515,42,TRUE,เติมเงิน,"24,900",,,,
62,096-145-6915,46,TRUE,เติมเงิน,"24,900",,,,
63,095-145-6916,46,TRUE,เติมเงิน,"12,900",,,,
64,096-145-6956,51,TRUE,เติมเงิน,"32,900",,,,
65,096-145-9161,42,TRUE,เติมเงิน,"12,900",,,,
66,096-145-9515,45,TRUE,เติมเงิน,"24,900",,,,
67,096-145-9695,54,TRUE,เติมเงิน,"24,900",,,,
68,096-145-9956,54,TRUE,เติมเงิน,"29,900",,,,
69,096-145-9965,54,TRUE,เติมเงิน,"29,900",,,,
70,095-146-1424,36,TRUE,เติมเงิน,"14,900",,,,
71,095-146-1945,44,TRUE,เติมเงิน,"24,900",,,,
72,096-146-1951,42,TRUE,เติมเงิน,"14,900",,,,
73,096-146-1959,50,TRUE,เติมเงิน,"29,900",,,,
74,095-146-2915,42,TRUE,เติมเงิน,"24,900",,,,
75,096-146-2945,46,TRUE,เติมเงิน,"24,900",,,,
76,081-469-3559,50,TRUE,เติมเงิน,"19,900",,,,
77,096-146-4165,42,TRUE,เติมเงิน,"29,900",,,,
78,096-146-4546,45,TRUE,เติมเงิน,"14,900",,,,
79,096-146-6154,42,TRUE,เติมเงิน,"14,900",,,,
80,095-146-6965,51,TRUE,เติมเงิน,"29,900",,,,
81,096-146-9159,50,TRUE,เติมเงิน,"29,900",,,,
82,096-146-9245,46,TRUE,เติมเงิน,"24,900",,,,
83,095-146-9515,45,TRUE,เติมเงิน,"34,900",,,,
84,081-469-9656,54,TRUE,เติมเงิน,"29,900",,,,
85,096-149-1415,40,TRUE,เติมเงิน,"32,900",,,,
86,096-149-1465,45,TRUE,เติมเงิน,"29,900",,,,
87,096-149-1514,40,TRUE,เติมเงิน,"14,900",,,,
88,096-149-1541,40,TRUE,เติมเงิน,"12,900",,,,
89,096-149-1545,44,TRUE,เติมเงิน,"34,900",,,,
90,096-149-1645,45,TRUE,เติมเงิน,"34,900",,,,
91,096-149-1965,50,TRUE,เติมเงิน,"29,900",,,,
92,096-149-2956,51,TRUE,เติมเงิน,"34,900",,,,
93,096-149-4165,45,TRUE,เติมเงิน,"29,900",,,,
94,096-149-4191,44,TRUE,เติมเงิน,"12,900",,,,
95,096-149-4461,44,TRUE,เติมเงิน,"12,900",,,,
96,096-149-4495,51,TRUE,เติมเงิน,"27,900",,,,
97,064-149-4954,46,TRUE,เติมเงิน,"14,900",,,,
98,064-149-5154,39,TRUE,เติมเงิน,"14,900",,,,
99,096-149-5154,44,TRUE,เติมเงิน,"14,900",,,,
100,094-149-5465,47,TRUE,เติมเงิน,"29,900",,,,
101,097-149-5653,49,TRUE,เติมเงิน,"22,900",,,,
102,094-149-5654,47,TRUE,เติมเงิน,"14,900",,,,
103,096-149-6245,46,TRUE,เติมเงิน,"34,900",,,,
104,096-149-6415,45,TRUE,เติมเงิน,"34,900",,,,
105,096-149-6514,45,TRUE,เติมเงิน,"14,900",,,,
106,096-149-6924,50,TRUE,เติมเงิน,"14,900",,,,
107,096-149-6946,54,TRUE,เติมเงิน,"12,900",,,,
108,096-149-8297,55,TRUE,เติมเงิน,"29,900",,,,
109,096-149-9565,54,TRUE,เติมเงิน,"29,900",,,,
110,096-149-9656,55,TRUE,เติมเงิน,"34,900",,,,
111,096-151-4541,36,TRUE,เติมเงิน,"14,900",,,,
112,096-151-4565,42,TRUE,เติมเงิน,"29,900",,,,
113,097-153-2923,41,TRUE,เติมเงิน,"19,900",,,,
114,094-153-5141,33,TRUE,เติมเงิน,"14,900",,,,
115,097-153-5329,44,TRUE,เติมเงิน,"24,900",,,,
116,064-153-6454,38,TRUE,เติมเงิน,"14,900",,,,
117,064-153-9654,43,TRUE,เติมเงิน,"14,900",,,,
118,096-154-1495,44,TRUE,เติมเงิน,"29,900",,,,
119,096-154-1546,41,TRUE,เติมเงิน,"12,900",,,,
120,096-154-1564,41,TRUE,เติมเงิน,"14,900",,,,
121,096-154-1645,41,TRUE,เติมเงิน,"32,900",,,,
122,064-154-1945,39,TRUE,เติมเงิน,"32,900",,,,
123,096-154-1945,44,TRUE,เติมเงิน,"32,900",,,,
124,096-154-2324,36,TRUE,เติมเงิน,"14,900",,,,
125,096-154-2459,45,TRUE,เติมเงิน,"24,900",,,,
126,096-154-2465,42,TRUE,เติมเงิน,"29,900",,,,
127,096-154-4151,36,TRUE,เติมเงิน,"14,900",,,,
128,096-154-4165,41,TRUE,เติมเงิน,"29,900",,,,
129,096-154-4265,42,TRUE,เติมเงิน,"29,900",,,,
130,094-154-4965,47,TRUE,เติมเงิน,"29,900",,,,
131,096-154-5141,36,TRUE,เติมเงิน,"14,900",,,,
132,096-154-5165,42,TRUE,เติมเงิน,"29,900",,,,
133,064-154-5356,39,TRUE,เติมเงิน,"34,900",,,,
134,096-154-6245,42,TRUE,เติมเงิน,"32,900",,,,
135,097-154-6299,52,TRUE,เติมเงิน,"19,900",,,,
136,096-154-6515,42,TRUE,เติมเงิน,"32,900",,,,
137,096-154-9156,46,TRUE,เติมเงิน,"34,900",,,,
138,096-154-9415,44,TRUE,เติมเงิน,"32,900",,,,
139,096-154-9956,54,TRUE,เติมเงิน,"32,900",,,,
140,096-156-1941,42,TRUE,เติมเงิน,"14,900",,,,
141,096-156-1959,51,TRUE,เติมเงิน,"29,900",,,,
142,096-156-2454,42,TRUE,เติมเงิน,"17,900",,,,
143,096-156-2924,44,TRUE,เติมเงิน,"17,900",,,,
144,096-156-2989,55,TRUE,เติมเงิน,"34,900",,,,
145,096-156-4146,42,TRUE,เติมเงิน,"12,900",,,,
146,096-156-4164,42,TRUE,เติมเงิน,"17,900",,,,
147,096-156-4195,46,TRUE,เติมเงิน,"34,900",,,,
148,096-156-4415,41,TRUE,เติมเงิน,"37,900",,,,
149,096-156-4515,42,TRUE,เติมเงิน,"39,900",,,,
150,096-156-4546,46,TRUE,เติมเงิน,"14,900",,,,
151,096-156-4956,51,TRUE,เติมเงิน,"34,900",,,,
152,096-156-4959,54,TRUE,เติมเงิน,"39,900",,,,
153,096-156-4964,50,TRUE,เติมเงิน,"17,900",,,,
154,096-156-5156,44,TRUE,เติมเงิน,"34,900",,,,
155,096-156-5165,44,TRUE,เติมเงิน,"32,900",,,,
156,096-156-5363,44,TRUE,เติมเงิน,"17,900",,,,
157,096-156-5415,42,TRUE,เติมเงิน,"39,900",,,,
158,096-156-5451,42,TRUE,เติมเงิน,"14,900",,,,
159,096-156-9495,54,TRUE,เติมเงิน,"34,900",,,,
160,096-156-9514,46,TRUE,เติมเงิน,"17,900",,,,
161,096-156-9941,50,TRUE,เติมเงิน,"14,900",,,,
162,096-156-9954,54,TRUE,เติมเงิน,"14,900",,,,
163,096-159-1491,45,TRUE,เติมเงิน,"14,900",,,,
164,097-159-2293,47,TRUE,เติมเงิน,"17,900",,,,
165,096-159-2451,42,TRUE,เติมเงิน,"14,900",,,,
166,095-159-2454,44,TRUE,เติมเงิน,"17,900",,,,
167,095-159-2965,51,TRUE,เติมเงิน,"32,900",,,,
168,096-159-4246,46,TRUE,เติมเงิน,"14,900",,,,
169,096-159-4965,54,TRUE,เติมเงิน,"32,900",,,,
170,096-159-5649,54,TRUE,เติมเงิน,"34,900",,,,
171,095-159-6195,50,TRUE,เติมเงิน,"34,900",,,,
172,096-159-6195,51,TRUE,เติมเงิน,"34,900",,,,
173,095-159-6245,46,TRUE,เติมเงิน,"39,900",,,,
174,096-159-6459,54,TRUE,เติมเงิน,"39,900",,,,
175,096-159-6514,46,TRUE,เติมเงิน,"17,900",,,,
176,096-159-6519,51,TRUE,เติมเงิน,"39,900",,,,
177,096-159-6595,55,TRUE,เติมเงิน,"34,900",,,,
178,095-159-6659,55,TRUE,เติมเงิน,"34,900",,,,
179,096-159-6959,59,TRUE,เติมเงิน,"39,900",,,,
180,096-159-8916,54,TRUE,เติมเงิน,"14,900",,,,
181,096-159-9159,54,TRUE,เติมเงิน,"39,900",,,,
182,096-159-9163,49,TRUE,เติมเงิน,"17,900",,,,
183,096-159-9165,51,TRUE,เติมเงิน,"32,900",,,,
184,096-159-9249,54,TRUE,เติมเงิน,"39,900",,,,
185,096-159-9565,55,TRUE,เติมเงิน,"32,900",,,,
186,096-159-9591,54,TRUE,เติมเงิน,"14,900",,,,
187,096-159-9645,54,TRUE,เติมเงิน,"39,900",,,,
188,096-159-9691,55,TRUE,เติมเงิน,"14,900",,,,
189,064-223-2265,32,TRUE,เติมเงิน,"29,900",,,,
190,080-223-2366,32,TRUE,เติมเงิน,"12,900",,,,
191,084-223-2879,45,TRUE,เติมเงิน,"34,900",,,,
192,080-223-5153,29,TRUE,เติมเงิน,"17,900",,,,
193,083-223-5495,41,TRUE,เติมเงิน,"24,900",,,,
194,084-223-5654,39,TRUE,เติมเงิน,"14,900",,,,
195,080-223-5954,38,TRUE,เติมเงิน,"12,900",,,,
196,096-223-6156,40,TRUE,เติมเงิน,"32,900",,,,
197,080-223-6299,41,TRUE,เติมเงิน,"24,900",,,,
198,097-223-6653,43,TRUE,เติมเงิน,"17,900",,,,
199,064-223-6695,43,TRUE,เติมเงิน,"24,900",,,,
200,090-223-6946,41,TRUE,เติมเงิน,"12,900",,,,
201,083-223-9929,47,TRUE,เติมเงิน,"29,900",,,,
202,090-223-9965,45,TRUE,เติมเงิน,"29,900",,,,
203,090-224-1465,33,TRUE,เติมเงิน,"29,900",,,,
204,083-224-2287,38,TRUE,เติมเงิน,"24,900",,,,
205,080-224-2649,37,TRUE,เติมเงิน,"24,900",,,,
206,090-224-2654,34,TRUE,เติมเงิน,"12,900",,,,
207,083-224-2665,38,TRUE,เติมเงิน,"29,900",,,,
208,064-224-2979,45,TRUE,เติมเงิน,"24,900",,,,
209,083-224-4265,36,TRUE,เติมเงิน,"29,900",,,,
210,083-224-4651,35,TRUE,เติมเงิน,"14,900",,,,
211,084-224-5919,44,TRUE,เติมเงิน,"29,900",,,,
212,096-224-5954,46,TRUE,เติมเงิน,"12,900",,,,
213,084-224-6149,40,TRUE,เติมเงิน,"24,900",,,,
214,083-224-6415,35,TRUE,เติมเงิน,"29,900",,,,
215,090-224-6461,34,TRUE,เติมเงิน,"14,900",,,,
216,095-224-6591,43,TRUE,เติมเงิน,"14,900",,,,
217,083-224-9829,47,TRUE,เติมเงิน,"34,900",,,,
218,084-224-9879,53,TRUE,เติมเงิน,"39,900",,,,
219,064-224-9964,46,TRUE,เติมเงิน,"12,900",,,,
220,084-226-1454,36,TRUE,เติมเงิน,"12,900",,,,
221,090-226-1465,35,TRUE,เติมเงิน,"29,900",,,,
222,083-226-1656,39,TRUE,เติมเงิน,"32,900",,,,
223,097-226-1697,49,TRUE,เติมเงิน,"24,900",,,,
224,084-226-2451,34,TRUE,เติมเงิน,"14,900",,,,
225,080-226-2465,35,TRUE,เติมเงิน,"29,900",,,,
226,080-226-2959,43,TRUE,เติมเงิน,"34,900",,,,
227,096-226-4191,40,TRUE,เติมเงิน,"14,900",,,,
228,090-226-4295,39,TRUE,เติมเงิน,"24,900",,,,
229,084-226-4495,44,TRUE,เติมเงิน,"24,900",,,,
230,090-226-4515,34,TRUE,เติมเงิน,"29,900",,,,
231,084-226-4519,41,TRUE,เติมเงิน,"34,900",,,,
232,084-226-4694,45,TRUE,เติมเงิน,"12,900",,,,
233,080-226-4935,39,TRUE,เติมเงิน,"32,900",,,,
234,084-226-4954,44,TRUE,เติมเงิน,"12,900",,,,
235,090-226-5354,36,TRUE,เติมเงิน,"12,900",,,,
236,095-226-5494,46,TRUE,เติมเงิน,"12,900",,,,
237,097-226-5515,42,TRUE,เติมเงิน,"29,900",,,,
238,084-226-5616,40,TRUE,เติมเงิน,"12,900",,,,
239,090-226-6265,38,TRUE,เติมเงิน,"29,900",,,,
240,083-226-6324,36,TRUE,เติมเงิน,"12,900",,,,
241,097-226-6359,49,TRUE,เติมเงิน,"34,900",,,,
242,096-226-6365,45,TRUE,เติมเงิน,"29,900",,,,
243,064-226-6395,43,TRUE,เติมเงิน,"24,900",,,,
244,090-226-9365,42,TRUE,เติมเงิน,"29,900",,,,
245,084-226-9464,45,TRUE,เติมเงิน,"12,900",,,,
246,084-226-9514,41,TRUE,เติมเงิน,"12,900",,,,
247,090-226-9699,52,TRUE,เติมเงิน,"24,900",,,,
248,090-228-2265,36,TRUE,เติมเงิน,"29,900",,,,
249,084-228-2459,44,TRUE,เติมเงิน,"34,900",,,,
250,084-228-2495,44,TRUE,เติมเงิน,"29,900",,,,
251,090-228-2629,40,TRUE,เติมเงิน,"29,900",,,,
252,084-228-2645,41,TRUE,เติมเงิน,"32,900",,,,
253,090-228-2656,40,TRUE,เติมเงิน,"32,900",,,,
254,084-228-2924,41,TRUE,เติมเงิน,"12,900",,,,
255,090-228-2949,45,TRUE,เติมเงิน,"29,900",,,,
256,090-228-7924,43,TRUE,เติมเงิน,"12,900",,,,
257,080-229-1516,34,TRUE,เติมเงิน,"12,900",,,,
258,083-229-1535,38,TRUE,เติมเงิน,"32,900",,,,
259,083-229-1536,39,TRUE,เติมเงิน,"12,900",,,,
260,084-229-1545,40,TRUE,เติมเงิน,"32,900",,,,
261,084-229-1645,41,TRUE,เติมเงิน,"32,900",,,,
262,083-229-1663,40,TRUE,เติมเงิน,"17,900",,,,
263,084-229-1956,46,TRUE,เติมเงิน,"32,900",,,,
264,064-229-2294,40,TRUE,เติมเงิน,"12,900",,,,
265,083-229-2354,38,TRUE,เติมเงิน,"12,900",,,,
266,084-229-2645,42,TRUE,เติมเงิน,"32,900",,,,
267,084-229-2829,46,TRUE,เติมเงิน,"34,900",,,,
268,096-229-3651,43,TRUE,เติมเงิน,"18,900",,,,
269,084-229-4191,40,TRUE,เติมเงิน,"14,900",,,,
270,064-229-4459,45,TRUE,เติมเงิน,"29,900",,,,
271,083-229-4539,45,TRUE,เติมเงิน,"34,900",,,,
272,083-229-4559,47,TRUE,เติมเงิน,"24,900",,,,
273,084-229-5154,40,TRUE,เติมเงิน,"12,900",,,,
274,097-229-5195,49,TRUE,เติมเงิน,"24,900",,,,
275,095-229-5541,42,TRUE,เติมเงิน,"14,900",,,,
276,084-229-5915,45,TRUE,เติมเงิน,"32,900",,,,
277,083-229-5989,55,TRUE,เติมเงิน,"29,900",,,,
278,096-229-6165,46,TRUE,เติมเงิน,"29,900",,,,
279,084-229-6265,44,TRUE,เติมเงิน,"29,900",,,,
280,080-229-6623,38,TRUE,เติมเงิน,"17,900",,,,
281,083-229-6645,45,TRUE,เติมเงิน,"32,900",,,,
282,084-229-6956,51,TRUE,เติมเงิน,"32,900",,,,
283,097-229-7965,56,TRUE,เติมเงิน,"29,900",,,,
284,084-229-8245,44,TRUE,เติมเงิน,"32,900",,,,
285,084-229-8246,45,TRUE,เติมเงิน,"12,900",,,,
286,090-229-8295,46,TRUE,เติมเงิน,"24,900",,,,
287,090-229-8915,45,TRUE,เติมเงิน,"32,900",,,,
288,090-229-8956,50,TRUE,เติมเงิน,"32,900",,,,
289,090-229-8965,50,TRUE,เติมเงิน,"29,900",,,,
290,084-229-9295,50,TRUE,เติมเงิน,"24,900",,,,
291,084-229-9415,44,TRUE,เติมเงิน,"32,900",,,,
292,084-229-9646,50,TRUE,เติมเงิน,"12,900",,,,
293,095-232-3615,36,TRUE,เติมเงิน,"32,900",,,,
294,097-232-3651,38,TRUE,เติมเงิน,"18,900",,,,
295,090-232-4245,31,TRUE,เติมเงิน,"32,900",,,,
296,096-232-6414,37,TRUE,เติมเงิน,"12,900",,,,
297,090-232-9154,35,TRUE,เติมเงิน,"12,900",,,,
298,090-232-9556,41,TRUE,เติมเงิน,"32,900",,,,
299,080-232-9615,36,TRUE,เติมเงิน,"32,900",,,,
300,096-235-1454,39,TRUE,เติมเงิน,"12,900",,,,
301,090-235-1594,38,TRUE,เติมเงิน,"12,900",,,,
302,095-235-3514,37,TRUE,เติมเงิน,"12,900",,,,
303,083-235-3639,42,TRUE,เติมเงิน,"34,900",,,,
304,097-235-3994,51,TRUE,เติมเงิน,"12,900",,,,
305,064-235-4156,36,TRUE,เติมเงิน,"34,900",,,,
306,080-235-4287,39,TRUE,เติมเงิน,"29,900",,,,
307,090-235-4551,34,TRUE,เติมเงิน,"14,900",,,,
308,084-235-5195,42,TRUE,เติมเงิน,"29,900",,,,
309,095-235-5491,43,TRUE,เติมเงิน,"14,900",,,,
310,090-235-5695,44,TRUE,เติมเงิน,"29,900",,,,
311,090-235-9416,39,TRUE,เติมเงิน,"12,900",,,,
312,080-236-2291,33,TRUE,เติมเงิน,"14,900",,,,
313,084-236-2956,45,TRUE,เติมเงิน,"34,900",,,,
314,080-236-2987,45,TRUE,เติมเงิน,"29,900",,,,
315,064-236-3287,41,TRUE,เติมเงิน,"29,900",,,,
316,083-236-4249,41,TRUE,เติมเงิน,"29,900",,,,
317,095-236-4465,44,TRUE,เติมเงิน,"29,900",,,,
318,083-236-4987,50,TRUE,เติมเงิน,"29,900",,,,
319,090-236-6239,40,TRUE,เติมเงิน,"32,900",,,,
320,080-236-6287,42,TRUE,เติมเงิน,"29,900",,,,
321,083-236-6287,45,TRUE,เติมเงิน,"29,900",,,,
322,083-236-6429,43,TRUE,เติมเงิน,"29,900",,,,
323,095-236-6449,48,TRUE,เติมเงิน,"19,900",,,,
324,095-236-6466,47,TRUE,เติมเงิน,"12,900",,,,
325,096-236-6951,47,TRUE,เติมเงิน,"15,900",,,,
326,083-239-1419,40,TRUE,เติมเงิน,"23,900",,,,
327,090-239-1665,41,TRUE,เติมเงิน,"29,900",,,,
328,080-239-1924,38,TRUE,เติมเงิน,"12,900",,,,
329,084-239-1945,45,TRUE,เติมเงิน,"32,900",,,,
330,090-239-1965,44,TRUE,เติมเงิน,"29,900",,,,
331,083-239-2249,42,TRUE,เติมเงิน,"29,900",,,,
332,090-239-2263,36,TRUE,เติมเงิน,"17,900",,,,
333,095-239-2356,44,TRUE,เติมเงิน,"34,900",,,,
334,090-239-2455,39,TRUE,เติมเงิน,"32,900",,,,
335,095-239-2915,45,TRUE,เติมเงิน,"32,900",,,,
336,095-239-3556,47,TRUE,เติมเงิน,"34,900",,,,
337,083-239-4146,40,TRUE,เติมเงิน,"14,900",,,,
338,097-239-6366,51,TRUE,เติมเงิน,"11,900",,,,
339,083-239-7915,47,TRUE,เติมเงิน,"32,900",,,,
340,080-239-8949,52,TRUE,เติมเงิน,"29,900",,,,
341,080-239-9594,49,TRUE,เติมเงิน,"12,900",,,,
342,080-239-9636,46,TRUE,เติมเงิน,"14,900",,,,
343,095-241-4154,35,TRUE,เติมเงิน,"12,900",,,,
344,096-241-4415,36,TRUE,เติมเงิน,"32,900",,,,
345,096-241-4451,36,TRUE,เติมเงิน,"14,900",,,,
346,096-241-4465,41,TRUE,เติมเงิน,"29,900",,,,
347,096-241-4514,36,TRUE,เติมเงิน,"12,900",,,,
348,096-241-4541,36,TRUE,เติมเงิน,"14,900",,,,
349,095-241-4656,42,TRUE,เติมเงิน,"32,900",,,,
350,096-241-4951,41,TRUE,เติมเงิน,"14,900",,,,
351,095-241-4956,45,TRUE,เติมเงิน,"32,900",,,,
352,096-241-5195,42,TRUE,เติมเงิน,"24,900",,,,
353,096-241-5414,36,TRUE,เติมเงิน,"12,900",,,,
354,096-241-5465,42,TRUE,เติมเงิน,"29,900",,,,
355,096-241-5519,42,TRUE,เติมเงิน,"29,900",,,,
356,095-241-5541,36,TRUE,เติมเงิน,"14,900",,,,
357,096-241-5546,42,TRUE,เติมเงิน,"11,900",,,,
358,096-241-5645,42,TRUE,เติมเงิน,"29,900",,,,
359,096-241-5915,42,TRUE,เติมเงิน,"29,900",,,,
360,096-241-5951,42,TRUE,เติมเงิน,"14,900",,,,
361,095-241-5954,44,TRUE,เติมเงิน,"12,900",,,,
362,096-241-6295,44,TRUE,เติมเงิน,"24,900",,,,
363,095-241-6454,40,TRUE,เติมเงิน,"12,900",,,,
364,096-241-6459,46,TRUE,เติมเงิน,"34,900",,,,
365,096-241-6545,42,TRUE,เติมเงิน,"29,900",,,,
366,084-241-6915,40,TRUE,เติมเงิน,"29,900",,,,
367,095-241-9165,42,TRUE,เติมเงิน,"29,900",,,,
368,096-241-9245,42,TRUE,เติมเงิน,"29,900",,,,
369,084-241-9464,42,TRUE,เติมเงิน,"12,900",,,,
370,096-241-9515,42,TRUE,เติมเงิน,"29,900",,,,
371,095-241-9656,47,TRUE,เติมเงิน,"32,900",,,,
372,096-241-9965,51,TRUE,เติมเงิน,"29,900",,,,
373,084-242-2649,41,TRUE,เติมเงิน,"29,900",,,,
374,083-242-2695,41,TRUE,เติมเงิน,"29,900",,,,
375,080-242-2959,41,TRUE,เติมเงิน,"29,900",,,,
376,084-242-2964,41,TRUE,เติมเงิน,"14,900",,,,
377,095-242-3514,35,TRUE,เติมเงิน,"12,900",,,,
378,084-242-6249,41,TRUE,เติมเงิน,"29,900",,,,
379,096-242-6454,42,TRUE,เติมเงิน,"14,900",,,,
